ENSEMBLID;Symbol;mRNAbinding;IdentifiedCL;IdentifiedControl;p.adj.DESeq;p.adj.IC;RefSeq
ENSG00000145216;FIP1L1;mRNA-interactome;identified;not identified;0.072832566;0.001592472;"NP_112179;NP_001128409;NP_0011..."
ENSG00000145220;LYAR;mRNA-interactome;identified;identified;0.067401502;0.003759435;"NP_060286;NP_001139197"
ENSG00000145331;RG9MTD2;mRNA-interactome;identified;not identified;0.096773559;0.001145672;"NP_001128138;NP_001128137;NP_6..."
ENSG00000145354;CISD2;mRNA-interactome;identified;identified;0.930427451;0.002147612;NP_001008389
ENSG00000145425;RPS3A;mRNA-interactome;identified;identified;0.197713844;0.001477269;NP_000997
ENSG00000145741;BTF3;mRNA-interactome;identified;identified;0.23659668;0.001643887;"NP_001198;NP_001032726"
ENSG00000145907;G3BP1;mRNA-interactome;identified;not identified;2.95E-14;0.000731336;"NP_938405;NP_005745"
ENSG00000145912;NHP2;mRNA-interactome;identified;not identified;0.000257809;0.001677061;"NP_060308;NP_001030005"
ENSG00000146109;ABT1;mRNA-interactome;identified;not identified;0.016629709;0.000951795;NP_037507
ENSG00000146223;RPL7L1;mRNA-interactome;identified;not identified;6.03E-05;0.004045255;NP_940888
ENSG00000146540;C7orf50;mRNA-interactome;identified;not identified;0.040298589;0.005841375;"NP_001127867;NP_001127868;NP_1..."
ENSG00000146676;PURB;mRNA-interactome;identified;not identified;0.000393611;0.001677061;NP_150093
ENSG00000146701;MDH2;mRNA-interactome;identified;identified;0.321834071;0.008796502;NP_005909
ENSG00000146731;CCT6A;mRNA-interactome;identified;not identified;1;0.005207701;"NP_001753;NP_001009186"
ENSG00000146834;MEPCE;mRNA-interactome;identified;not identified;0.009708247;0.000877312;"NP_001181921;NP_001181920;NP_0..."
ENSG00000146963;LUC7L2;mRNA-interactome;identified;not identified;0.005783346;0.005354107;NP_057103
ENSG00000147140;NONO;mRNA-interactome;identified;not identified;7.46E-15;0.001095515;"NP_001138882;NP_001138880;NP_0..."
ENSG00000147274;RBMX;mRNA-interactome;identified;identified;1.82E-09;0.001508917;"NP_002130;NP_001158275"
ENSG00000147403;RPL10;mRNA-interactome;identified;identified;1;0.00149681;NP_006004
ENSG00000147586;MRPS28;mRNA-interactome;identified;not identified;0.096773559;0.009545486;NP_054737
ENSG00000147604;RPL7;mRNA-interactome;identified;identified;0.000130072;0.001421022;NP_000962
ENSG00000147649;MTDH;mRNA-interactome;identified;not identified;0.000322;0.009545486;NP_848927
ENSG00000147677;EIF3H;mRNA-interactome;identified;not identified;0.143405059;0.000896819;NP_003747
ENSG00000147679;UTP23;mRNA-interactome;identified;not identified;0.009708247;0.049830191;NP_115710
ENSG00000147905;ZCCHC7;mRNA-interactome;identified;not identified;0.002899518;0.003461977;NP_115602
ENSG00000148296;SURF6;mRNA-interactome;identified;identified;0.003965893;0.011587102;NP_006744
ENSG00000148300;REXO4;mRNA-interactome;identified;not identified;0.00049364;0.002079928;NP_065118
ENSG00000148303;RPL7A;mRNA-interactome;identified;identified;0.974628358;0.002050333;NP_000963
ENSG00000148688;RPP30;mRNA-interactome;identified;not identified;0.930427451;0.001145461;"NP_006404;NP_001098016"
ENSG00000148773;MKI67;mRNA-interactome;identified;not identified;0.002275245;0.004574;"NP_002408;NP_001139438"
ENSG00000148840;PPRC1;mRNA-interactome;identified;not identified;0.096773559;0.006425074;NP_055877
ENSG00000148843;PDCD11;mRNA-interactome;identified;identified;8.25E-11;0.000970329;NP_055791
ENSG00000149136;SSRP1;mRNA-interactome;identified;not identified;0.052105948;0.00681846;NP_003137
ENSG00000149187;CELF1;mRNA-interactome;identified;not identified;8.29E-12;0.001285231;"NP_001020767;NP_941989;NP_0065..."
ENSG00000149257;SERPINH1;mRNA-interactome;identified;not identified;0.329799582;0.002851718;NP_001226
ENSG00000149273;RPS3;mRNA-interactome;identified;identified;7.68E-05;0.00078165;NP_000996
ENSG00000149532;CPSF7;mRNA-interactome;identified;identified;0.003307414;0.021196657;"NP_001129512;NP_079087;NP_0011..."
ENSG00000149658;YTHDF1;mRNA-interactome;identified;not identified;0.004637231;0.088078007;NP_060268
ENSG00000150316;CWC15;mRNA-interactome;identified;identified;0.121898265;0.003303752;
ENSG00000151304;SRFBP1;mRNA-interactome;identified;not identified;1.57E-05;0.001260052;NP_689759
ENSG00000151923;TIAL1;mRNA-interactome;identified;not identified;5.35E-12;0.00067332;"NP_001029097;NP_003243"
ENSG00000152234;ATP5A1;mRNA-interactome;identified;identified;0.767750169;0.00506881;"NP_004037;NP_001001937"
ENSG00000152518;ZFP36L2;mRNA-interactome;identified;not identified;0.009708247;0.003475881;NP_008818
ENSG00000152601;MBNL1;mRNA-interactome;identified;not identified;8.77E-06;0.002708193;"NP_997175;NP_066368;NP_997177;..."
ENSG00000152795;HNRPDL;mRNA-interactome;identified;identified;1.41E-08;0.001019001;NP_112740
ENSG00000153037;SRP19;mRNA-interactome;identified;not identified;0.713048069;0.004477882;"NP_001191128;NP_003126;NP_0011..."
ENSG00000153113;CAST;mRNA-interactome;identified;not identified;0.016629709;0.006836809;"NP_001177371;NP_001035905;NP_7..."
ENSG00000153187;HNRNPU;mRNA-interactome;identified;identified;4.88E-11;0.001218147;"NP_004492;NP_114032"
ENSG00000153250;RBMS1;mRNA-interactome;identified;not identified;3.60E-06;0.004236314;"NP_002888;NP_058520"
ENSG00000153944;MSI2;mRNA-interactome;identified;not identified;6.76E-07;0.001315893;"NP_620412;NP_733839"
ENSG00000154556;SORBS2;mRNA-interactome;identified;identified;0.930427451;0.000871604;"NP_066547;NP_001139145;NP_0011..."
ENSG00000154719;MRPL39;mRNA-interactome;identified;not identified;0.029319648;0.002145059;"NP_059142;NP_542984"
ENSG00000155307;SAMSN1;mRNA-interactome;identified;not identified;1;0.000753652;NP_071419
ENSG00000155363;MOV10;mRNA-interactome;identified;not identified;8.29E-12;0.00346516;"NP_001123551;NP_066014"
ENSG00000155438;MKI67IP;mRNA-interactome;identified;not identified;1.73E-07;0.001548604;NP_115766
ENSG00000155506;LARP1;mRNA-interactome;identified;identified;8.97E-09;0.001026848;NP_056130
ENSG00000155636;RBM45;mRNA-interactome;identified;not identified;0.000393611;0.004077996;NP_694453
ENSG00000155660;PDIA4;mRNA-interactome;identified;not identified;0.052105948;0.001789825;NP_004902
ENSG00000156110;ADK;mRNA-interactome;identified;identified;1;0.001677061;"NP_006712;NP_001114;NP_0011893..."
ENSG00000156313;RPGR;mRNA-interactome;identified;not identified;0.930427451;0.001547251;"NP_000319;NP_001030025"
ENSG00000156482;RPL30;mRNA-interactome;identified;identified;0.003307414;0.000753652;NP_000980
ENSG00000156502;SUPV3L1;mRNA-interactome;identified;not identified;0.329799582;0.00545218;NP_003162
ENSG00000156508;EEF1A1;mRNA-interactome;identified;not identified;0.016629709;0.003379735;NP_001393
ENSG00000156531;PHF6;mRNA-interactome;identified;not identified;0.029319648;0.003053615;"NP_115834;NP_001015877;NP_1157..."
ENSG00000156697;UTP14A;mRNA-interactome;identified;identified;5.35E-07;0.001143875;"NP_006640;NP_001159693"
ENSG00000156976;EIF4A2;mRNA-interactome;identified;not identified;0.072832566;0.002692947;NP_001958
ENSG00000156990;RPUSD3;mRNA-interactome;identified;not identified;0.012745281;0.003755211;"NP_001136019;NP_775930"
ENSG00000157110;RBPMS;mRNA-interactome;identified;not identified;0.072832566;0.005028311;"NP_001008710;NP_006858;NP_0010..."
ENSG00000158406;HIST1H4H;mRNA-interactome;identified;identified;0.990741051;0.002092731;"NP_003533;NP_003536;NP_003534;..."
ENSG00000158417;EIF5B;mRNA-interactome;identified;identified;0.150396486;0.007099986;NP_056988
ENSG00000158545;ZC3H18;mRNA-interactome;identified;not identified;0.096773559;0.001122389;NP_653205
ENSG00000158941;KIAA1967;mRNA-interactome;identified;not identified;4.31E-06;0.001704679;NP_066997
ENSG00000159140;SON;mRNA-interactome;identified;not identified;9.50E-08;0.002451163;"NP_620305;NP_115571"
ENSG00000159176;CSRP1;mRNA-interactome;identified;identified;1;0.002326209;"NP_004069;NP_001180501;NP_0011..."
ENSG00000159217;IGF2BP1;mRNA-interactome;identified;not identified;9.00E-12;0.000888904;"NP_006537;NP_001153895"
ENSG00000159352;PSMD4;mRNA-interactome;identified;identified;1;0.001621344;NP_002801
ENSG00000159840;ZYX;mRNA-interactome;identified;not identified;0.930427451;0.003967811;"NP_001010972;NP_003452"
ENSG00000160194;NDUFV3;mRNA-interactome;identified;not identified;0.930427451;0.003225964;"NP_066553;NP_001001503"
ENSG00000160201;U2AF1;mRNA-interactome;identified;not identified;0.022498643;0.008639503;"NP_001020375;NP_001020374;NP_0..."
ENSG00000160208;RRP1B;mRNA-interactome;identified;not identified;1.63E-08;0.000910766;NP_055871
ENSG00000160213;CSTB;mRNA-interactome;identified;not identified;0.029319648;0.001621344;NP_000091
ENSG00000160214;RRP1;mRNA-interactome;identified;not identified;4.94E-05;0.002477368;NP_003674
ENSG00000160633;SAFB;mRNA-interactome;identified;identified;0.001219327;0.000899027;"NP_001188269;NP_001188268;NP_0..."
ENSG00000160679;C1orf77;mRNA-interactome;identified;not identified;3.32E-05;0.0038867;"NP_001193541;NP_056422"
ENSG00000160710;ADAR;mRNA-interactome;identified;not identified;4.34E-11;0.001677061;"NP_001180424;NP_001020278;NP_0..."
ENSG00000160752;FDPS;mRNA-interactome;identified;not identified;1;0.001344874;"NP_001129294;NP_001129293;NP_0..."
ENSG00000160818;GPATCH4;mRNA-interactome;identified;not identified;0.001160404;0.002729137;"NP_872620;NP_056405"
ENSG00000161016;RPL8;mRNA-interactome;identified;identified;0.044127107;0.002322413;"NP_000964;NP_150644"
ENSG00000161547;SRSF2;mRNA-interactome;identified;identified;4.11E-06;0.005931164;"NP_001182356;NP_003007"
ENSG00000161634;DCD;mRNA-interactome;not identified;identified;0.930427451;0.001621344;NP_444513
ENSG00000161813;LARP4;mRNA-interactome;identified;not identified;6.31E-11;0.000970329;"NP_001164275;NP_443111;NP_9546..."
ENSG00000161847;RAVER1;mRNA-interactome;identified;not identified;2.14E-06;0.001157772;NP_597709
ENSG00000161960;EIF4A1;mRNA-interactome;identified;not identified;3.55E-08;0.003304417;"NP_001191439;NP_001407"
ENSG00000162076;FLYWCH2;mRNA-interactome;identified;not identified;0.072832566;0.002692947;"NP_001135972;NP_001135971;NP_6..."
ENSG00000162231;NXF1;mRNA-interactome;identified;not identified;4.06E-05;0.001105157;"NP_006353;NP_001074960"
ENSG00000162244;RPL29;mRNA-interactome;identified;identified;0.065461148;0.000970329;NP_000983
ENSG00000162437;RAVER2;mRNA-interactome;identified;not identified;0.001160404;0.004214444;NP_060681
ENSG00000162613;FUBP1;mRNA-interactome;identified;not identified;8.91E-15;0.000753652;NP_003893
ENSG00000162642;C1orf52;mRNA-interactome;identified;not identified;0.329799582;0.004636549;NP_932343
ENSG00000162664;ZNF326;mRNA-interactome;identified;not identified;1.63E-08;0.001621344;"NP_892020;NP_892021"
ENSG00000162775;RBM15;mRNA-interactome;identified;not identified;1.98E-07;0.002264106;"NP_073605;NP_001188474"
ENSG00000163214;DHX57;mRNA-interactome;identified;not identified;0.00049364;0.002947251;NP_945314
ENSG00000163541;SUCLG1;mRNA-interactome;identified;identified;0.674391251;0.000871604;NP_003840
ENSG00000163565;IFI16;mRNA-interactome;identified;not identified;0.040298589;0.002129591;"NP_005522;NP_001193496"
ENSG00000163694;RBM47;mRNA-interactome;identified;not identified;6.70E-12;0.000910766;"NP_001092104;NP_061900"
ENSG00000163811;WDR43;mRNA-interactome;identified;not identified;8.77E-06;0.002642214;NP_055946
ENSG00000163877;SNIP1;mRNA-interactome;identified;not identified;0.713048069;0.002079928;NP_078976
ENSG00000163902;RPN1;mRNA-interactome;identified;identified;1;0.001508917;NP_002941
ENSG00000163938;GNL3;mRNA-interactome;identified;not identified;3.66E-07;0.002970104;"NP_996562;NP_996561;NP_055181"
ENSG00000163946;C3orf63;mRNA-interactome;identified;not identified;0.713048069;0.001315893;"NP_056039;NP_001106207"
ENSG00000163950;SLBP;mRNA-interactome;identified;not identified;0.143405059;0.006106691;NP_006518
ENSG00000164062;APEH;mRNA-interactome;identified;not identified;1;0.000951795;NP_001631
ENSG00000164104;HMGB2;mRNA-interactome;identified;identified;1;0.004125651;"NP_001124161;NP_001124160;NP_0..."
ENSG00000164134;NAA15;mRNA-interactome;identified;not identified;0.930427451;0.00518764;NP_476516
ENSG00000164338;UTP15;mRNA-interactome;identified;not identified;1.28E-11;0.000899027;NP_115551
ENSG00000164346;NSA2;mRNA-interactome;identified;not identified;0.000750884;0.019962084;NP_055701
ENSG00000164548;TRA2A;mRNA-interactome;identified;identified;3.23E-05;0.000608651;NP_037425
ENSG00000164924;YWHAZ;mRNA-interactome;identified;not identified;1;0.002642214;"NP_001129174;NP_001129173;NP_0..."
ENSG00000164934;DCAF13;mRNA-interactome;identified;not identified;6.23E-06;0.001425966;NP_056235
ENSG00000164985;PSIP1;mRNA-interactome;identified;not identified;0.329799582;0.00465285;"NP_001121689;NP_150091;NP_0669..."
ENSG00000165119;HNRNPK;mRNA-interactome;identified;identified;5.38E-15;0.000753652;"NP_002131;NP_112553;NP_112552"
ENSG00000165209;STRBP;mRNA-interactome;identified;identified;3.13E-05;0.003658834;"NP_001164608;NP_060857"
ENSG00000165271;NOL6;mRNA-interactome;identified;not identified;0.000393611;0.002477368;"NP_631981;NP_075068"
ENSG00000165526;RPUSD4;mRNA-interactome;identified;not identified;0.012745281;0.003967811;"NP_116184;NP_001138299"
ENSG00000165629;ATP5C1;mRNA-interactome;identified;identified;1;0.002322413;"NP_001001973;NP_005165"
ENSG00000165732;DDX21;mRNA-interactome;identified;not identified;2.43E-17;0.001229736;NP_004719
ENSG00000165733;BMS1;mRNA-interactome;identified;not identified;1.18E-11;0.001865032;NP_055568
ENSG00000166133;RPUSD2;mRNA-interactome;identified;not identified;0.930427451;0.002584472;NP_689473
ENSG00000166181;API5;mRNA-interactome;identified;not identified;7.43E-06;0.002117695;"NP_001136402;NP_001136403;NP_0..."
ENSG00000166197;NOLC1;mRNA-interactome;identified;not identified;0.002275245;0.000753652;NP_004732
ENSG00000166794;PPIB;mRNA-interactome;identified;identified;1;0.007469754;NP_000933
ENSG00000166889;PATL1;mRNA-interactome;identified;not identified;0.029319648;0.000910766;NP_689929
ENSG00000167004;PDIA3;mRNA-interactome;identified;identified;0.449290002;0.003809309;NP_005304
ENSG00000167005;NUDT21;mRNA-interactome;identified;not identified;0.001834291;0.027632944;NP_008937
ENSG00000167088;SNRPD1;mRNA-interactome;identified;identified;0.177003482;0.001547251;NP_008869
ENSG00000167112;TRUB2;mRNA-interactome;identified;not identified;1.57E-05;0.003584729;NP_056494
ENSG00000167315;ACAA2;mRNA-interactome;not identified;identified;1;0.0038865;NP_006102
ENSG00000167526;RPL13;mRNA-interactome;identified;identified;0.011243785;0.001145461;"NP_000968;NP_150254"
ENSG00000167658;EEF2;mRNA-interactome;identified;identified;0.004152617;0.0021325;NP_001952
ENSG00000167721;TSR1;mRNA-interactome;identified;not identified;0.096773559;0.002708193;NP_060598
ENSG00000167881;SRP68;mRNA-interactome;identified;identified;0.004865988;0.000882488;NP_055045
ENSG00000167962;ZNF598;mRNA-interactome;identified;not identified;0.040298589;0.002287715;NP_835461
ENSG00000167978;SRRM2;mRNA-interactome;identified;identified;8.63E-06;0.002050333;NP_057417
ENSG00000168003;SLC3A2;mRNA-interactome;identified;not identified;0.052105948;0.001425966;"NP_001013269;NP_002385;NP_0010..."
ENSG00000168066;SF1;mRNA-interactome;identified;identified;2.34E-05;0.000753652;"NP_001171501;NP_001171502;NP_0..."
ENSG00000168275;C1orf31;mRNA-interactome;identified;identified;1;0.002673413;"NP_001193570;NP_001013003"
ENSG00000168334;XIRP1;mRNA-interactome;identified;not identified;0.329799582;0.001377133;"NP_001185550;NP_919269"
ENSG00000168438;CDC40;mRNA-interactome;identified;not identified;0.930427451;0.00202892;NP_056975
ENSG00000168439;STIP1;mRNA-interactome;identified;identified;1;0.005025135;NP_006810
ENSG00000168488;ATXN2L;mRNA-interactome;identified;identified;3.13E-05;0.001140953;"NP_680781;NP_680780;NP_009176;..."
ENSG00000168502;KIAA0802;mRNA-interactome;identified;not identified;0.096773559;0.00775797;NP_056025
ENSG00000168724;DNAJC21;mRNA-interactome;identified;not identified;0.713048069;0.006470675;"NP_001012339;NP_919259"
ENSG00000168807;SNTB2;mRNA-interactome;identified;identified;1;0.000753652;NP_006741
ENSG00000168827;GFM1;mRNA-interactome;identified;not identified;0.930427451;0.006257578;NP_079272
ENSG00000169045;HNRNPH1;mRNA-interactome;identified;identified;2.78E-15;0.000753652;NP_005511
ENSG00000169057;MECP2;mRNA-interactome;identified;identified;1;0.002325008;"NP_004983;NP_001104262"
ENSG00000169174;PCSK9;mRNA-interactome;identified;not identified;0.930427451;0.005013346;NP_777596
ENSG00000169251;NMD3;mRNA-interactome;identified;not identified;0.143405059;0.000970329;NP_057022
ENSG00000169288;MRPL1;mRNA-interactome;identified;not identified;0.005783346;0.001677061;NP_064621
ENSG00000169564;PCBP1;mRNA-interactome;identified;identified;2.34E-11;0.000719405;NP_006187
ENSG00000169710;FASN;mRNA-interactome;identified;identified;8.77E-06;0.007223278;NP_004095
ENSG00000169714;CNBP;mRNA-interactome;identified;identified;1.53E-06;0.000753652;"NP_001120668;NP_003409;NP_0011..."
ENSG00000169813;HNRNPF;mRNA-interactome;identified;not identified;4.30E-16;0.000608651;"NP_001091675;NP_001091678;NP_0..."
ENSG00000169871;TRIM56;mRNA-interactome;identified;not identified;3.04E-06;0.006821384;NP_112223
ENSG00000170004;CHD3;mRNA-interactome;identified;not identified;0.713048069;0.005049076;"NP_001005271;NP_005843;NP_0010..."
ENSG00000170027;YWHAG;mRNA-interactome;not identified;identified;0.930427451;0.002708193;NP_036611
ENSG00000170144;HNRNPA3;mRNA-interactome;identified;not identified;7.53E-16;0.00067332;NP_919223
ENSG00000170515;PA2G4;mRNA-interactome;identified;identified;4.26E-09;0.000910766;NP_006182
ENSG00000170727;BOP1;mRNA-interactome;identified;not identified;0.005783346;0.002708193;NP_056016
ENSG00000170860;LSM3;mRNA-interactome;identified;not identified;0.002275245;0.009923983;NP_055278
ENSG00000170889;RPS9;mRNA-interactome;identified;not identified;0.000609866;0.55329068;NP_001004
ENSG00000171490;RSL1D1;mRNA-interactome;identified;not identified;3.14E-08;0.002962213;NP_056474
ENSG00000171824;EXOSC10;mRNA-interactome;identified;not identified;0.002899518;0.048324188;"NP_001001998;NP_002676"
ENSG00000171858;RPS21;mRNA-interactome;identified;identified;1;0.001808231;NP_001015
ENSG00000171861;RNMTL1;mRNA-interactome;identified;not identified;0.029319648;0.006470675;NP_060616
ENSG00000171863;RPS7;mRNA-interactome;identified;not identified;0.000609866;0.001019001;NP_001002
ENSG00000172171;C17orf42;mRNA-interactome;identified;not identified;0.143405059;0.001621344;NP_078959
ENSG00000172172;MRPL13;mRNA-interactome;identified;not identified;0.001160404;0.000970329;NP_054797
ENSG00000172660;TAF15;mRNA-interactome;identified;not identified;4.10E-08;0.000781391;"NP_003478;NP_631961"
ENSG00000172667;ZMAT3;mRNA-interactome;identified;not identified;0.930427451;0.001726093;"NP_071915;NP_689426"
ENSG00000173145;NOC3L;mRNA-interactome;identified;not identified;0.000609866;0.001621344;NP_071896
ENSG00000173230;GOLGB1;mRNA-interactome;identified;not identified;1;0.001177645;NP_004478
ENSG00000173545;ZNF622;mRNA-interactome;identified;not identified;0.143405059;0.001543661;NP_219482
ENSG00000173575;CHD2;mRNA-interactome;identified;not identified;0.713048069;0.002181489;"NP_001262;NP_001036037"
ENSG00000173674;EIF1AX;mRNA-interactome;identified;not identified;0.022498643;0.004705085;NP_001403
ENSG00000173914;RBM4B;mRNA-interactome;identified;not identified;0.052105948;0.001889448;NP_113680
ENSG00000173933;RBM4;mRNA-interactome;identified;not identified;0.000609866;0.002179053;"NP_002887;NP_001185773;NP_0011..."
ENSG00000174100;MRPL45;mRNA-interactome;identified;not identified;0.002275245;0.376351277;NP_115727
ENSG00000174173;RG9MTD1;mRNA-interactome;identified;not identified;0.000110155;0.002487926;NP_060289
ENSG00000174231;PRPF8;mRNA-interactome;identified;not identified;1.51E-14;0.001865032;NP_006436
ENSG00000174374;WBSCR16;mRNA-interactome;identified;not identified;0.009708247;0.001402381;NP_110425
ENSG00000174444;RPL4;mRNA-interactome;identified;identified;1.51E-06;0.001280117;NP_000959
ENSG00000174547;MRPL11;mRNA-interactome;identified;not identified;0.930427451;0.009181113;"NP_057134;NP_733934;NP_733935"
ENSG00000174720;LARP7;mRNA-interactome;identified;not identified;7.42E-05;0.001789825;"NP_056269;NP_057732"
ENSG00000174748;RPL15;mRNA-interactome;identified;not identified;0.072832566;0.001717888;NP_002939
ENSG00000174780;SRP72;mRNA-interactome;identified;identified;0.012783146;0.003303752;NP_008878
ENSG00000174953;DHX36;mRNA-interactome;identified;not identified;2.32E-05;0.001680949;"NP_065916;NP_001107869"
ENSG00000175324;LSM1;mRNA-interactome;identified;not identified;0.329799582;0.004924444;NP_055277
ENSG00000175467;SART1;mRNA-interactome;identified;not identified;0.007498822;0.010793814;NP_005137
ENSG00000175573;C11orf68;mRNA-interactome;identified;not identified;0.002275245;0.001034308;"NP_001129107;NP_113638"
ENSG00000176624;MEX3C;mRNA-interactome;identified;not identified;0.009708247;0.002181489;NP_057710
ENSG00000177192;PUS1;mRNA-interactome;identified;not identified;0.000135896;0.00239528;"NP_001002020;NP_001002019;NP_0..."
ENSG00000177469;PTRF;mRNA-interactome;not identified;identified;0.329799582;0.000899027;NP_036364
ENSG00000177613;CSTF2T;mRNA-interactome;identified;not identified;0.002275245;0.105368081;NP_056050
ENSG00000177733;HNRNPA0;mRNA-interactome;identified;not identified;9.50E-08;0.000753652;NP_006796
ENSG00000177764;ZCCHC3;mRNA-interactome;identified;not identified;0.002275245;0.000899027;NP_149080
ENSG00000177885;GRB2;mRNA-interactome;identified;not identified;0.329799582;0.00159745;"NP_002077;NP_987102"
ENSG00000177971;IMP3;mRNA-interactome;identified;not identified;0.052105948;0.001145672;NP_060755
ENSG00000178105;DDX10;mRNA-interactome;identified;not identified;4.94E-05;0.004481351;NP_004389
ENSG00000178209;PLEC;mRNA-interactome;identified;not identified;5.46E-14;0.002439367;"NP_958786;NP_958785;NP_958784;..."
ENSG00000178252;WDR6;mRNA-interactome;identified;not identified;0.096773559;0.001315893;NP_060501
ENSG00000178718;RPP25;mRNA-interactome;identified;not identified;0.329799582;0.00265097;NP_060263
ENSG00000178952;TUFM;mRNA-interactome;identified;not identified;0.007498822;0.001677061;NP_003312
ENSG00000179041;RRS1;mRNA-interactome;identified;not identified;1.57E-05;0.001233741;NP_055984
ENSG00000179051;RCC2;mRNA-interactome;identified;not identified;0.005783346;0.010872416;"NP_001129676;NP_061185"
ENSG00000179218;CALR;mRNA-interactome;identified;not identified;0.143405059;0.001651554;NP_004334
ENSG00000179335;CLK3;mRNA-interactome;identified;not identified;0.930427451;0.001122389;"NP_003983;NP_001123500"
ENSG00000179604;CDC42EP4;mRNA-interactome;not identified;identified;0.674391251;0.000719405;NP_036253
ENSG00000179837;RBM15B;mRNA-interactome;identified;not identified;0.002275245;0.004924444;NP_037418
ENSG00000179873;NLRP11;mRNA-interactome;identified;not identified;0.930427451;0.003802315;NP_659444
ENSG00000179912;R3HDM2;mRNA-interactome;identified;not identified;0.001466087;0.002147612;NP_055740
ENSG00000179950;PUF60;mRNA-interactome;identified;identified;4.57E-08;0.002050333;"NP_001129505;NP_510965;NP_0550..."
ENSG00000180098;TRNAU1AP;mRNA-interactome;identified;not identified;0.004637231;0.009359475;NP_060316
ENSG00000180771;SRSF8;mRNA-interactome;identified;not identified;0.012745281;0.001865032;
ENSG00000181019;NQO1;mRNA-interactome;identified;identified;1;0.002856126;"NP_000894;NP_001020604;NP_0010..."
ENSG00000181163;NPM1;mRNA-interactome;identified;identified;2.94E-08;0.001425966;"NP_002511;NP_954654;NP_0010328..."
ENSG00000181222;AMAC1L3;mRNA-interactome;identified;not identified;0.000927589;0.002692947;"NP_001096084;NP_000928"
ENSG00000181378;CCDC108;mRNA-interactome;identified;not identified;0.930427451;0.001002474;"NP_919278;NP_689602"
ENSG00000181588;MEX3D;mRNA-interactome;identified;not identified;0.000750884;0.001880018;"NP_976049;NP_001167589"
ENSG00000181610;MRPS23;mRNA-interactome;identified;not identified;0.000393611;0.026290429;NP_057154
ENSG00000181991;MRPS11;mRNA-interactome;identified;not identified;0.022498643;0.005745731;"NP_073750;NP_789775"
ENSG00000182154;MRPL41;mRNA-interactome;identified;not identified;0.329799582;0.003542356;NP_115866
ENSG00000182196;ARL6IP4;mRNA-interactome;identified;not identified;0.713048069;0.004232426;"NP_057722;NP_061164;NP_0010022..."
ENSG00000182718;ANXA2;mRNA-interactome;identified;not identified;0.072832566;0.004924444;"NP_004030;NP_001002857;NP_0011..."
ENSG00000182768;NGRN;mRNA-interactome;identified;not identified;0.022498643;0.002145059;NP_001028260
ENSG00000182774;AC010724.1;mRNA-interactome;identified;not identified;0.004637231;0.002741686;"NP_001185986;NP_001012"
ENSG00000182810;DDX28;mRNA-interactome;identified;not identified;0.001834291;0.002708193;NP_060850
ENSG00000182872;RBM10;mRNA-interactome;identified;identified;3.64E-05;0.002158582;"NP_001191397;NP_001191396;NP_0..."
ENSG00000182899;RPL35A;mRNA-interactome;identified;not identified;0.713048069;0.005921197;NP_000987
ENSG00000182934;SRPR;mRNA-interactome;identified;not identified;0.029319648;0.003755211;"NP_003130;NP_001171313"
ENSG00000182944;EWSR1;mRNA-interactome;identified;not identified;4.25E-07;0.000899027;"NP_005234;NP_001156757;NP_0537..."
ENSG00000183258;DDX41;mRNA-interactome;identified;not identified;0.072832566;0.003338465;NP_057306
ENSG00000183431;SF3A3;mRNA-interactome;identified;not identified;0.000209011;0.009325788;NP_006793
ENSG00000183520;UTP11L;mRNA-interactome;identified;not identified;0.002899518;0.065976393;NP_057121
ENSG00000183570;PCBP3;mRNA-interactome;identified;not identified;0.005783346;0.000608651;"NP_065389;NP_001123613"
ENSG00000183684;THOC4;mRNA-interactome;identified;identified;8.63E-06;0.001153923;NP_005773
ENSG00000183751;TBL3;mRNA-interactome;identified;not identified;0.000135896;0.007435911;NP_006444
ENSG00000183808;RBM12B;mRNA-interactome;identified;not identified;6.03E-05;0.01175169;NP_976324
ENSG00000184083;FAM120C;mRNA-interactome;identified;not identified;7.83E-07;0.00149681;"NP_060318;NP_940858"
ENSG00000184110;EIF3C;mRNA-interactome;identified;not identified;5.74E-11;0.001158005;"NP_001186071;NP_001032897;NP_0..."
ENSG00000184220;C3orf26;mRNA-interactome;identified;not identified;0.143405059;0.001376221;"NP_115735;NP_001161396"
ENSG00000184357;HIST1H1B;mRNA-interactome;identified;identified;0.930427451;0.008856128;NP_005313
ENSG00000184672;RALYL;mRNA-interactome;identified;not identified;0.005783346;0.394427098;"NP_001093863;NP_001093862;NP_7..."
ENSG00000184863;RBM33;mRNA-interactome;identified;not identified;0.329799582;0.002513018;NP_444271
ENSG00000184967;NOC4L;mRNA-interactome;identified;not identified;0.007498822;0.013912101;NP_076983
ENSG00000185129;PURA;mRNA-interactome;identified;not identified;5.20E-06;0.003625557;NP_005850
ENSG00000185163;DDX51;mRNA-interactome;identified;not identified;1.92E-05;0.006301703;NP_778236
ENSG00000185298;CCDC137;mRNA-interactome;identified;not identified;6.23E-06;0.00115354;NP_954981
ENSG00000185624;P4HB;mRNA-interactome;identified;not identified;0.005783346;0.001592472;NP_000909
ENSG00000185650;ZFP36L1;mRNA-interactome;identified;not identified;0.329799582;0.001295697;NP_004917
ENSG00000185651;UBE2L3;mRNA-interactome;identified;identified;1;0.001091449;NP_003338
